dataset,method,tlb
DiatomSizeReduction,sfa,0.2778841504692495
InsectEPGSmallTrain,sfa,0.2572629580541118
Fungi,sfa,0.21568738386210382
BeetleFly,sfa,0.18201716390569203
BirdChicken,sfa,0.30388370371152146
Rock,sfa,0.2646009989817555
DodgerLoopGame,sfa,0.16196255933052098
DodgerLoopWeekend,sfa,0.161962559330521
ShapeletSim,sfa,0.03938453167337621
Chinatown,sfa,0.26185236743791646
SonyAIBORobotSurface1,sfa,0.18107645360605357
MoteStrain,sfa,0.21243084558091394
ECGFiveDays,sfa,0.10885081410581117
TwoLeadECG,sfa,0.20169111182596863
FaceFour,sfa,0.050193323851737276
Symbols,sfa,0.22374534820249983
SonyAIBORobotSurface2,sfa,0.14458853206607572
Coffee,sfa,0.1838038274511439
FreezerSmallTrain,sfa,0.2967844996414668
Beef,sfa,0.20968671473973896
OliveOil,sfa,0.1643913421682497
BME,sfa,0.42185292827572823
CBF,sfa,0.23265668782689952
ToeSegmentation2,sfa,0.23394452409565536
UMD,sfa,0.4142758467989758
ArrowHead,sfa,0.23916821893515694
HouseTwenty,sfa,0.19181386293062647
ToeSegmentation1,sfa,0.21581877999097776
CinCECGTorso,sfa,0.1490569256295323
PickupGestureWiimoteZ,sfa,0.25499724540002244
ShakeGestureWiimoteZ,sfa,0.18174520335432742
GunPoint,sfa,0.29448542804983674
Mallat,sfa,0.19238127535700944
Wine,sfa,0.18415980208756796
Car,sfa,0.23822736404657033
Meat,sfa,0.28962164304072857
Lightning2,sfa,0.17610226179738245
InsectEPGRegularTrain,sfa,0.2584281682231016
Herring,sfa,0.21833881972159874
ItalyPowerDemand,sfa,0.21903431563161177
Lightning7,sfa,0.18196737844720443
DodgerLoopDay,sfa,0.16196255933052098
ACSF1,sfa,0.023356322639763616
ECG200,sfa,0.22883515457503062
Trace,sfa,0.3422385238219198
InlineSkate,sfa,0.22982261648109498
MixedShapesSmallTrain,sfa,0.2658704680442126
PigAirwayPressure,sfa,0.2968777166992714
PigArtPressure,sfa,0.06028091564563876
PigCVP,sfa,0.18759729569253947
Plane,sfa,0.2104638913845106
Ham,sfa,0.13175471939988836
GesturePebbleZ1,sfa,0.18639676633371632
GunPointAgeSpan,sfa,0.2895521307398271
GunPointMaleVersusFemale,sfa,0.2895521307398271
GunPointOldVersusYoung,sfa,0.2895521307398271
GesturePebbleZ2,sfa,0.18639676633371627
SmoothSubspace,sfa,0.2969238638439047
FreezerRegularTrain,sfa,0.29558376080322274
Haptics,sfa,0.20462659613612993
Fish,sfa,0.21806961331121025
PowerCons,sfa,0.21202546320770538
Worms,sfa,0.20975136932777436
WormsTwoClass,sfa,0.20975136932777436
OSULeaf,sfa,0.20014011169628415
FacesUCR,sfa,0.05600782069783912
GestureMidAirD1,sfa,0.2972252693093378
GestureMidAirD2,sfa,0.3047666959140313
GestureMidAirD3,sfa,0.3474518432277327
Phoneme,sfa,0.011692024176784561
InsectWingbeatSound,sfa,0.1643002007839802
Computers,sfa,0.18708032922627166
WordSynonyms,sfa,0.2541686443262193
SyntheticControl,sfa,0.25186448618467727
SemgHandGenderCh2,sfa,0.07513247243305947
AllGestureWiimoteX,sfa,0.20454693234029758
AllGestureWiimoteY,sfa,0.2583885007691795
AllGestureWiimoteZ,sfa,0.2116211159135924
Yoga,sfa,0.28227695015899995
Earthquakes,sfa,0.04380560566014674
EOGHorizontalSignal,sfa,0.2910240796636658
EOGVerticalSignal,sfa,0.23190102877042054
LargeKitchenAppliances,sfa,0.13985908563215566
RefrigerationDevices,sfa,0.022730795745788873
ScreenType,sfa,0.19419549935594377
SmallKitchenAppliances,sfa,0.04715733148357955
MedicalImages,sfa,0.1855300897407005
CricketX,sfa,0.21937435990309867
CricketY,sfa,0.2131747630442341
CricketZ,sfa,0.21990423196120784
Adiac,sfa,0.19118970328723447
MiddlePhalanxTW,sfa,0.17190608945695438
DistalPhalanxOutlineAgeGroup,sfa,0.20117679053932572
DistalPhalanxTW,sfa,0.20117679053932572
MiddlePhalanxOutlineAgeGroup,sfa,0.171699974405
ProximalPhalanxOutlineAgeGroup,sfa,0.17844472052393487
ProximalPhalanxTW,sfa,0.17844472052393479
SemgHandMovementCh2,sfa,0.07513247243305951
SemgHandSubjectCh2,sfa,0.07513247243305948
FiftyWords,sfa,0.251970606951053
ChlorineConcentration,sfa,0.13810398737742405
SwedishLeaf,sfa,0.20873691584234005
MixedShapesRegularTrain,sfa,0.26715830992826267
ECG5000,sfa,0.1834573779166627
EthanolLevel,sfa,0.13544934151145624
PLAID,sfa,0.15748025726782594
FaceAll,sfa,0.06062169766238127
DistalPhalanxOutlineCorrect,sfa,0.17796401381221327
MiddlePhalanxOutlineCorrect,sfa,0.17275789753733795
ProximalPhalanxOutlineCorrect,sfa,0.17914832224928354
ShapesAll,sfa,0.25699071782062644
Strawberry,sfa,0.18646657086760612
UWaveGestureLibraryAll,sfa,0.1964566651112384
UWaveGestureLibraryX,sfa,0.278200082388655
UWaveGestureLibraryY,sfa,0.3198687924396186
UWaveGestureLibraryZ,sfa,0.2814856034196721
HandOutlines,sfa,0.11804806803567398
TwoPatterns,sfa,0.20226366854289926
Wafer,sfa,0.25408077660847694
StarLightCurves,sfa,0.3108600294907497
MelbournePedestrian,sfa,0.23944847242595013
PhalangesOutlinesCorrect,sfa,0.17465863961309303
NonInvasiveFetalECGThorax1,sfa,0.18385879675014383
NonInvasiveFetalECGThorax2,sfa,0.1619496477539685
FordA,sfa,0.009416321378813187
FordB,sfa,0.008680092244808913
Crop,sfa,0.2854555467309645
ElectricDevices,sfa,0.10068441489844424
