dataset,method,tlb
DiatomSizeReduction,spartan,0.3713059113124968
InsectEPGSmallTrain,spartan,0.3560155583443568
Fungi,spartan,0.41564105104448257
BeetleFly,spartan,0.37853276090702065
BirdChicken,spartan,0.4300749391373253
Rock,spartan,0.3955726617013127
DodgerLoopGame,spartan,0.27132601096942366
DodgerLoopWeekend,spartan,0.27132601096942366
ShapeletSim,spartan,0.12758400009237275
Chinatown,spartan,0.3763771050385412
SonyAIBORobotSurface1,spartan,0.3363706393765651
MoteStrain,spartan,0.30992476831608573
ECGFiveDays,spartan,0.4607653096929755
TwoLeadECG,spartan,0.40150994343064933
FaceFour,spartan,0.370599898257434
Symbols,spartan,0.3567833131751392
SonyAIBORobotSurface2,spartan,0.36453922638518316
Coffee,spartan,0.36825371892379766
FreezerSmallTrain,spartan,0.43656460535408054
Beef,spartan,0.3245009178164438
OliveOil,spartan,0.3950561951115529
BME,spartan,0.4557529570654791
CBF,spartan,0.33694651474043835
ToeSegmentation2,spartan,0.36208778523003043
UMD,spartan,0.47270868349226064
ArrowHead,spartan,0.28469230601696616
HouseTwenty,spartan,0.2894410612616992
ToeSegmentation1,spartan,0.33389483306301887
CinCECGTorso,spartan,0.35738155302468183
PickupGestureWiimoteZ,spartan,0.39699008091739707
ShakeGestureWiimoteZ,spartan,0.28536726190822126
GunPoint,spartan,0.3673959386623028
Mallat,spartan,0.4032359608779113
Wine,spartan,0.33178134855993235
Car,spartan,0.3278849275657428
Meat,spartan,0.3744111460082219
Lightning2,spartan,0.2995491460493384
InsectEPGRegularTrain,spartan,0.36116061716267445
Herring,spartan,0.34550313313372155
ItalyPowerDemand,spartan,0.34337334746455583
Lightning7,spartan,0.31103580895152566
DodgerLoopDay,spartan,0.27132601096942366
ACSF1,spartan,0.20416478032065297
ECG200,spartan,0.34089206420151835
Trace,spartan,0.40884559164467904
InlineSkate,spartan,0.36606828077835024
MixedShapesSmallTrain,spartan,0.379828254937164
PigAirwayPressure,spartan,0.4522061108713075
PigArtPressure,spartan,0.23728486168412988
PigCVP,spartan,0.29623256821537525
Plane,spartan,0.39400478380814236
Ham,spartan,0.32688284090920927
GesturePebbleZ1,spartan,0.3740714027769181
GunPointAgeSpan,spartan,0.38071677118044844
GunPointMaleVersusFemale,spartan,0.3807167711804484
GunPointOldVersusYoung,spartan,0.38071677118044844
GesturePebbleZ2,spartan,0.37407140277691825
SmoothSubspace,spartan,0.37388233943512056
FreezerRegularTrain,spartan,0.43724362231849634
Haptics,spartan,0.342971148552765
Fish,spartan,0.30692086814526826
PowerCons,spartan,0.3216278515915936
Worms,spartan,0.2961774035899901
WormsTwoClass,spartan,0.2961774035899901
OSULeaf,spartan,0.3201593896810371
FacesUCR,spartan,0.3232799857928435
GestureMidAirD1,spartan,0.3618692708485146
GestureMidAirD2,spartan,0.3903794441313674
GestureMidAirD3,spartan,0.41287947356770416
Phoneme,spartan,0.11066808513757395
InsectWingbeatSound,spartan,0.38896470637525504
Computers,spartan,0.2753270284742444
WordSynonyms,spartan,0.3583282673972724
SyntheticControl,spartan,0.336217106866719
SemgHandGenderCh2,spartan,0.16880027851441937
AllGestureWiimoteX,spartan,0.3323738865257787
AllGestureWiimoteY,spartan,0.3778660704631332
AllGestureWiimoteZ,spartan,0.36199120750674146
Yoga,spartan,0.3735739568731884
Earthquakes,spartan,0.10178310381292688
EOGHorizontalSignal,spartan,0.4285889415130959
EOGVerticalSignal,spartan,0.36173213932128584
LargeKitchenAppliances,spartan,0.1692783039645472
RefrigerationDevices,spartan,0.086494427362259
ScreenType,spartan,0.29952416924724556
SmallKitchenAppliances,spartan,0.050671775753032576
MedicalImages,spartan,0.3645812424711234
CricketX,spartan,0.3285553169114176
CricketY,spartan,0.3453654287252863
CricketZ,spartan,0.327125769436583
Adiac,spartan,0.26667108685974156
MiddlePhalanxTW,spartan,0.36822595885316656
DistalPhalanxOutlineAgeGroup,spartan,0.3608027428805575
DistalPhalanxTW,spartan,0.3608027428805575
MiddlePhalanxOutlineAgeGroup,spartan,0.3668859065223711
ProximalPhalanxOutlineAgeGroup,spartan,0.3835968649815322
ProximalPhalanxTW,spartan,0.3835968649815323
SemgHandMovementCh2,spartan,0.16880027851441942
SemgHandSubjectCh2,spartan,0.16880027851441942
FiftyWords,spartan,0.3573206752705391
ChlorineConcentration,spartan,0.3990627145607534
SwedishLeaf,spartan,0.29773274937775684
MixedShapesRegularTrain,spartan,0.3720539261805312
ECG5000,spartan,0.3734004385736262
EthanolLevel,spartan,0.3937264413362245
PLAID,spartan,0.2863851014794225
FaceAll,spartan,0.314812891664103
DistalPhalanxOutlineCorrect,spartan,0.3429946798613041
MiddlePhalanxOutlineCorrect,spartan,0.3747949869903797
ProximalPhalanxOutlineCorrect,spartan,0.36271392855751833
ShapesAll,spartan,0.3672142926191517
Strawberry,spartan,0.3004547922564783
UWaveGestureLibraryAll,spartan,0.35848789688869603
UWaveGestureLibraryX,spartan,0.3871456837311917
UWaveGestureLibraryY,spartan,0.39806809578562674
UWaveGestureLibraryZ,spartan,0.3958063349660482
HandOutlines,spartan,0.32053818502255477
TwoPatterns,spartan,0.3344066889044984
Wafer,spartan,0.393260788942808
StarLightCurves,spartan,0.3887524631358761
MelbournePedestrian,spartan,0.3652308615728681
PhalangesOutlinesCorrect,spartan,0.3479568250421732
NonInvasiveFetalECGThorax1,spartan,0.35607128167770646
NonInvasiveFetalECGThorax2,spartan,0.3420813428811257
FordA,spartan,0.24948373952188715
FordB,spartan,0.20703349848345115
Crop,spartan,0.4021851869410073
ElectricDevices,spartan,0.151633956599424
